Date,Confirmed new cases,New deaths,New incubations,Exposed,New infectious,Infectious,Mild,SevereHome,At hospital,HospitalWillRecover,HospitalFatal,RecoveredMild,RecoveredSevere,Recovered total,Fatal
"Be careful not to change the structure of this spreadsheet, because it needs to be parsed by our app.",,,,"Number of people who currently have the virus incubating, but not yet infectious.",,"Number of people who are currently infectious (not including persons in 'recovering', 'hospitalized', etc.)","Recovering, mild symptoms: Number of people who are not infectious anymore but are still experiencing mild symptoms.",Number of people who are currently not infectious anymore but are still experiencing severe symptoms but are not in hospital.,,Number of people who are currently in hospital and will later move to RecoveredSevere state.,Number of people who are currently in hospital and will later move to Fatal state.,"Number of people who have recovered, cumulative, after being in ""Mild"" state","Number of people who have recovered, cumulative, after being in a Severe state.",,"Number of people who have died, cumulative."
Also note that everything you write in this spreadsheet will be published openly on the internet!,From HS API,From HS API,"From Mikko, missing values extrapolated",Inferred assuming 5-day incubation period,Inferred assuming 5-day incubation period,Inferred assuming 5-day incubation period and 3-day infectious period,After infectious period: 4-6d from infection (ok?),3% 3 päivää sitten infectiousina olleista.,"From Mikko, missing values extrapolated",total in hospital - hospitalFatal,"inferred from later fatalities, missing values extrapolated","5d from ""mild""",very few in the beginning,,From HS API
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,33,0,1,0,0,0,0,0,0,0,0,0
2020-02-27,1,0,23,35,0,2,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,10,45,0,5,0,0,0,0,0,0,0,0,0
2020-02-29,3,0,2,59,0,10,0,0,0,0,0,0,0,0,0
2020-03-01,1,0,10,54,0,15,0,0,0,0,0,0,0,0,0
